Model Index;CP Tag;Type;Dataset;Phase
1;CP241;MP;CLS;PH1
1;CP283;MP;CLS;PH2
1;CP270;MP;CLS;PH3
2;CP210;MP;CLS;PH1
2;CP288;MP;CLS;PH2
2;CP293;MP;CLS;PH3
3;CP287;MP;CLS;PH1
3;CP252;MP;CLS;PH2
3;CP292;MP;CLS;PH3
